episode,regime,protocol,method,iterations,converged,inner_success,objective,calls,scale_hat,floor_hit,movement_prior_units
06ed19cae9b77eadb7048661,setup_translation,bounce,profile_map,13,True,True,-31.116651878999193,132,0.020263761895791325,False,0.0002064790418997922
0702bd8167b8f647ece9d030,generalized_translation,unforced_slide,huber,2,True,True,0.7001654903948115,19,0.125,False,1.7286170236313811e-09
0702bd8167b8f647ece9d030,generalized_translation,unforced_slide,cauchy,4,True,True,0.6998855863957947,12,0.125,False,6.243795738924008e-06
0702bd8167b8f647ece9d030,generalized_translation,unforced_slide,profile_map,13,True,True,-23.607158965496644,96,0.05229192517417314,False,1.287711301294733e-05
078f9aafa4f9e23e2492f753,generalized_translation,bounce,huber,3,True,True,0.5190004686376545,16,0.125,False,8.13629034993415e-11
078f9aafa4f9e23e2492f753,generalized_translation,bounce,cauchy,4,True,True,0.5188207502542486,17,0.125,False,1.5235188777053426e-06
078f9aafa4f9e23e2492f753,generalized_translation,bounce,profile_map,18,True,True,-24.93980175481027,225,0.044159439939542015,False,7.2133793256000175e-06
078f9aafa4f9e23e2492f753,setup_translation,bounce,huber,3,True,True,1.6797287423113019,12,0.125,False,7.457425459523046e-11
078f9aafa4f9e23e2492f753,setup_translation,bounce,cauchy,4,True,True,1.6780034611116932,21,0.125,False,4.1450344966138374e-07
078f9aafa4f9e23e2492f753,setup_translation,bounce,profile_map,6,True,True,-20.13378420883834,57,0.08052434647791164,False,4.5303456736856e-06
078fd6e9dcc84b3916469b73,generalized_translation,multiple_forces,huber,4,True,True,2.009680035638651,26,0.125,False,0.029132319449107495
078fd6e9dcc84b3916469b73,generalized_translation,multiple_forces,cauchy,4,True,True,2.0096309497393166,23,0.125,False,0.0291327830607078
078fd6e9dcc84b3916469b73,generalized_translation,multiple_forces,profile_map,42,True,True,-26.237485081457336,385,0.030075840059143353,False,0.02371559844694742
07c20714da30356a79eb4162,generalized_translation,bounce,huber,3,True,True,0.4415962724342278,13,0.125,False,1.7391688719467282e-11
07c20714da30356a79eb4162,generalized_translation,bounce,cauchy,4,True,True,0.441594279697386,21,0.125,False,3.3919635208694394e-08
07c20714da30356a79eb4162,generalized_translation,bounce,profile_map,34,True,True,-34.309429744224275,330,0.01305707165440104,False,4.959219248101982e-05
07c20714da30356a79eb4162,setup_translation,bounce,huber,3,True,True,0.4959732106293512,16,0.125,False,3.790996650795186e-10
07c20714da30356a79eb4162,setup_translation,bounce,cauchy,3,True,True,0.4959671804501853,9,0.125,False,6.878738428189656e-08
07c20714da30356a79eb4162,setup_translation,bounce,profile_map,15,True,True,-31.099332018767345,105,0.01950186511793573,False,4.30244012100384e-05
07d0329b191ba1743e6b851f,generalized_translation,unforced_slide,huber,2,True,True,0.2448737873206768,10,0.125,False,1.968021365296129e-09
07d0329b191ba1743e6b851f,generalized_translation,unforced_slide,cauchy,3,True,True,0.2448448868030615,15,0.125,False,6.178336228095185e-07
07d0329b191ba1743e6b851f,generalized_translation,unforced_slide,profile_map,18,True,True,-27.81926248317418,140,0.03088472945563314,False,4.7360183221033066e-05
0821a610908be53288040c4a,generalized_translation,unforced_slide,huber,3,True,True,1.655177133838454,13,0.125,False,0.0001318069854204074
0821a610908be53288040c4a,generalized_translation,unforced_slide,cauchy,5,True,True,1.6545411546220652,24,0.125,False,0.00013407358833347836
0821a610908be53288040c4a,generalized_translation,unforced_slide,profile_map,25,True,True,-21.857078773758182,208,0.059194537112524634,False,0.0002335658676569391
08332cf3ddf7e139c1450fda,generalized_translation,multiple_forces,huber,3,True,True,1.6697621375453517,28,0.125,False,0.0003966211074852003
08332cf3ddf7e139c1450fda,generalized_translation,multiple_forces,cauchy,6,True,True,1.6695562780664392,45,0.125,False,0.0004744481673298684
08332cf3ddf7e139c1450fda,generalized_translation,multiple_forces,profile_map,49,True,True,-23.596887959328743,440,0.045050459528900896,False,0.08996353665531912
085db578286e17344de3080c,generalized_translation,multiple_forces,huber,3,True,True,1.957286835118819,26,0.125,False,0.00026262603996005004
085db578286e17344de3080c,generalized_translation,multiple_forces,cauchy,6,True,True,1.957274447352037,39,0.125,False,0.00026432335065198776
085db578286e17344de3080c,generalized_translation,multiple_forces,profile_map,52,True,True,-28.326126388600017,480,0.02306927291328378,False,0.02208473922286126
086eaae9afc61237661afe3f,generalized_translation,unforced_slide,huber,3,True,True,2.04232879712447,16,0.125,False,0.010665867698830796
086eaae9afc61237661afe3f,generalized_translation,unforced_slide,cauchy,4,True,True,2.0417770024965303,17,0.125,False,0.010664020142695201
086eaae9afc61237661afe3f,generalized_translation,unforced_slide,profile_map,28,True,True,-21.228925074524007,216,0.061566836340531936,False,0.010371213014137962
089d44308b0b16f6c9642b6e,generalized_translation,bounce,huber,3,True,True,0.4430866895928517,13,0.125,False,0.001850583027043303
089d44308b0b16f6c9642b6e,generalized_translation,bounce,cauchy,4,True,True,0.44306160084813906,17,0.125,False,0.0018508577547136247
089d44308b0b16f6c9642b6e,generalized_translation,bounce,profile_map,32,True,True,-28.82305532179801,300,0.0263564502670129,False,0.0017656811907527051
089d44308b0b16f6c9642b6e,setup_translation,bounce,huber,3,True,True,0.621402490454082,13,0.125,False,0.00073693176273188
089d44308b0b16f6c9642b6e,setup_translation,bounce,cauchy,5,True,True,0.6213399571089797,39,0.125,False,0.0007370580099552238
089d44308b0b16f6c9642b6e,setup_translation,bounce,profile_map,10,True,True,-26.025938051110902,117,0.03739693214597054,False,0.0006880806923599658
08e08fb537915e5615f59ff8,generalized_translation,unforced_slide,huber,2,True,True,0.6022660498799872,13,0.125,False,1.9058274139914753e-09
08e08fb537915e5615f59ff8,generalized_translation,unforced_slide,cauchy,4,True,True,0.6020609054751561,21,0.125,False,2.879864872839605e-06
08e08fb537915e5615f59ff8,generalized_translation,unforced_slide,profile_map,17,True,True,-24.21119189834394,112,0.04848750906421274,False,3.1961704727542274e-05
08ee26d7fd3d9cc644e25c9c,generalized_translation,unforced_slide,huber,3,True,True,1.0618779337887767,15,0.125,False,0.000380388747840078
08ee26d7fd3d9cc644e25c9c,generalized_translation,unforced_slide,cauchy,4,True,True,1.0617703253712063,19,0.125,False,0.00038529618748504385
08ee26d7fd3d9cc644e25c9c,generalized_translation,unforced_slide,profile_map,31,True,True,-25.834269190702685,256,0.03613454991929064,False,0.004277730382440616
08fa0bd7709e3d02fcc9c671,generalized_translation,multiple_forces,huber,3,True,True,0.36743286106124495,20,0.125,False,1.4572250299457333e-06
08fa0bd7709e3d02fcc9c671,generalized_translation,multiple_forces,cauchy,5,True,True,0.36742729721554607,33,0.125,False,1.7586562799204986e-06
08fa0bd7709e3d02fcc9c671,generalized_translation,multiple_forces,profile_map,34,True,True,-32.115069321445574,335,0.017405470280810593,False,0.012209762790939051
08fd72196c805b534497921d,generalized_translation,multiple_forces,huber,4,True,True,0.4780024676547904,24,0.125,False,9.316809657097256e-06
08fd72196c805b534497921d,generalized_translation,multiple_forces,cauchy,4,True,True,0.4779790487288513,30,0.125,False,7.408784406628329e-06
